subject,predicate,object
Aging,RT,Cataracts
Aging,RT,Electric breakdown
Aging,RT,Energy storage
Aging,RT,Gerontology
Aging,RT,Insulation life
Aging,RT,Life estimation
Aging,RT,Older adults
Aging,RT,Reliability
Aging,NT,Accelerated aging
Agricultural engineering,BT,Engineering - general
Agricultural engineering,RT,Agricultural machinery
Agricultural engineering,RT,Agricultural robots
Agricultural engineering,RT,Agriculture
Agricultural engineering,RT,Farming
Agricultural machinery,UF,Combine harvesters
Agricultural machinery,UF,Tractors
Agricultural machinery,BT,Machinery
Agricultural machinery,RT,Agricultural engineering
Agricultural machinery,RT,Agriculture
Agricultural machinery,RT,Applicators
Agricultural machinery,RT,Blades
Agricultural machinery,NT,Agricultural robots
Agricultural products,BT,Agriculture
Agricultural products,RT,Agricultural robots
Agricultural products,RT,Farming
Agricultural products,RT,Food products
Agricultural products,RT,Food security
Agricultural products,RT,Irrigation
Agricultural products,NT,Cotton
Agricultural products,NT,Crops
Agricultural products,NT,Dairy products
Agricultural products,NT,Sugar
Agricultural products,NT,Wool
Agricultural robots,BT,Agricultural machinery
Agricultural robots,BT,Robots
Agricultural robots,RT,Agricultural engineering
Agricultural robots,RT,Agricultural products
Agricultural robots,RT,Mobile robots
Agriculture,UF,Livestock
Agriculture,BT,Industries
Agriculture,RT,Agricultural engineering
Agriculture,RT,Agricultural machinery
Agriculture,RT,Animals
Agriculture,RT,Dairy products
Agriculture,RT,Farming
Agriculture,RT,Food waste
Agriculture,RT,Genetic engineering
Agriculture,RT,Pest control
Agriculture,RT,Seeds (agriculture)
Agriculture,RT,Soil pollution
Agriculture,RT,Vegetation mapping
Agriculture,NT,Agricultural products
Agriculture,NT,Aquaculture
Agriculture,NT,Fertilizers
Agriculture,NT,Greenhouses
Agriculture,NT,Irrigation
Agriculture,NT,Smart agriculture
AI,USE,Artificial intelligence
AI accelerators,UF,AI chips
AI accelerators,UF,Arificial intelligence chips
AI accelerators,BT,Artificial intelligence
AI accelerators,BT,Microprocessor chips
AI accelerators,RT,Application specific integrated circuits
AI accelerators,RT,Coprocessors
AI accelerators,RT,Field programmable gate arrays
AI accelerators,RT,Graphics processing units
AI accelerators,RT,Learning (artificial intelligence)
AI accelerators,RT,Multiprocessing systems
AI accelerators,RT,Neural network hardware
AI accelerators,RT,Neural networks
AI accelerators,RT,Neuromorphic engineering
AI accelerators,RT,System-on-chip
AI chips,USE,AI accelerators
AI technologies,USE,Artificial intelligence
AIDS,USE,Acquired immune deficiency syndrome
Aids for the handicapped,USE,Assistive technologies
AIEE Standards,BT,IEEE Standards
Air accidents,BT,Aerospace accidents
Air accidents,RT,Air safety
Air accidents,RT,Air traffic control
Air bags,USE,Automotive components
Air cleaners,UF,Air filters
Air cleaners,UF,Air purifiers
Air cleaners,BT,Machine components
Air cleaners,RT,Air pollution
Air cleaners,RT,Cleaning
Air cleaners,RT,Purification
Air conditioning,BT,Cooling
Air conditioning,RT,Building services
Air conditioning,RT,Buildings
Air conditioning,RT,Compressors
Air conditioning,RT,Ducts
Air conditioning,RT,Fans
Air conditioning,RT,HVAC
Air conditioning,RT,Ventilation
Air conditioning,RT,Vents
Air conditioning,NT,Central air conditioning
Air filters,USE,Air cleaners
Air gaps,UF,Air-gap
Air gaps,BT,Electromagnetic analysis
Air gaps,RT,Electrodes
Air gaps,RT,Spark gaps
Air interface,USE,Communication channels
Air pollutants,USE,Air pollution
Air pollution,UF,Air pollutants
Air pollution,BT,Air quality
Air pollution,BT,Pollution
Air pollution,RT,Air cleaners
Air pollution,RT,Ash
Air pollution,RT,Atmospheric measurements
Air pollution,RT,Carbon footprint
Air pollution,RT,Carbon sequestration
Air pollution,RT,Exhaust gases
Air pollution,RT,Flue gases
Air pollution,RT,Fossil fuels
Air pollution,RT,Global warming
Air pollution,RT,Incineration
Air pollution,RT,Industrial pollution
Air pollution,RT,Meteorology
Air pollution,RT,Thermal pollution
Air purifiers,USE,Air cleaners
Air quality,BT,Atmosphere
Air quality,RT,Atmospheric measurements
Air quality,RT,Environmental factors
Air quality,NT,Air pollution
Air quality,NT,Indoor air quality
Air safety,BT,Aerospace safety
Air safety,RT,Air accidents
Air traffic control,UF,Air traffic management
Air traffic control,BT,Aerospace control
Air traffic control,RT,Air accidents
Air traffic control,RT,Air transportation
Air traffic control,RT,Control systems
Air traffic control,RT,Radio navigation
Air traffic management,USE,Air traffic control
Air transportation,BT,Transportation
Air transportation,RT,Air traffic control
Air transportation,RT,Global Positioning System
Air transportation,NT,Aircraft
Air transportation,NT,Airports
Air-gap,USE,Air gaps
Airborne radar,BT,Radar
Airborne radar,RT,Synthetic aperture radar
Aircraft,BT,Air transportation
Aircraft,RT,Aerospace control
Aircraft,RT,Aerospace electronics
Aircraft,RT,Aircraft manufacture
Aircraft,RT,Aircraft navigation
Aircraft,RT,Aircraft propulsion
Aircraft,RT,Ground support
Aircraft,RT,Military aircraft
Aircraft,RT,Propellers
Aircraft,NT,Airplanes
Aircraft,NT,Helicopters
Aircraft control,USE,Aerospace control
Aircraft electronics,USE,Aerospace electronics
Aircraft engines,USE,Aircraft propulsion
Aircraft instrumentation,USE,Aerospace electronics
Aircraft manufacture,BT,Aerospace and electronic systems
Aircraft manufacture,RT,Aerospace industry
Aircraft manufacture,RT,Aerospace materials
Aircraft manufacture,RT,Aircraft
Aircraft materials,USE,Aerospace materials
Aircraft navigation,UF,Aerospace navigation
Aircraft navigation,UF,"Entry, descent and landing"
Aircraft navigation,BT,Aerospace and electronic systems
Aircraft navigation,BT,Navigation
Aircraft navigation,RT,Aircraft
Aircraft navigation,RT,Course correction
Aircraft propulsion,UF,Aircraft engines
Aircraft propulsion,BT,Aerospace and electronic systems
Aircraft propulsion,BT,Propulsion
Aircraft propulsion,RT,Aircraft
Aircraft propulsion,RT,Engines
Aircraft propulsion,RT,Jet engines
Aircraft propulsion,RT,Turbines
Aircraft propulsion,NT,Propellers
Airfields,USE,Airports
Airfoils,USE,Automotive components
Airplanes,BT,Aircraft
Airports,UF,Airfields
Airports,BT,Air transportation
Al,USE,Aluminum
Al2O3,USE,Aluminum oxide
Alarm systems,UF,Warning systems
Alarm systems,BT,Security
Alarm systems,RT,Fall detection
Alarm systems,RT,Monitoring
Alarm systems,RT,Motion detection
Alarm systems,RT,Safety
Alarm systems,RT,Safety devices
Alarm systems,NT,Smoke detectors
Alcoholic beverages,BT,Ethanol
Alcoholism,BT,Diseases
Alexa,USE,Virtual assistants
Algae,BT,Organisms
Algebra,BT,Mathematics
Algebra,RT,Nonlinear equations
Algebra,NT,Abstract algebra
Algebra,NT,Boolean algebra
Algebra,NT,Linear algebra
Algebra,NT,Set theory
Algorithm design and analysis,BT,Algorithms
Algorithm design and analysis,NT,Algorithmic efficiency
Algorithm design and analysis,NT,Generative adversarial networks
Algorithm design and theory,BT,Algorithms
Algorithm design and theory,NT,Backtracking
Algorithm design and theory,NT,Consensus algorithm
Algorithmic efficiency,BT,Algorithm design and analysis
Algorithmic efficiency,RT,Computational complexity
Algorithmic efficiency,RT,Software performance
Algorithmic efficiency,RT,Software quality
Algorithmic efficiency,NT,Metaheuristics
Algorithms,UF,Subroutines
Algorithms,BT,Mathematics
Algorithms,RT,Biometrics (access control)
Algorithms,RT,Ciphers
Algorithms,RT,Cyclic redundancy check
Algorithms,RT,Huffman coding
Algorithms,RT,Linear programming
Algorithms,RT,Maximum likelihood decoding
Algorithms,RT,Model checking
Algorithms,RT,Numerical stability
Algorithms,RT,Random processes
Algorithms,RT,Software
Algorithms,RT,Software libraries
Algorithms,RT,Stability analysis
Algorithms,NT,Adaptive algorithms
Algorithms,NT,Algorithm design and analysis
Algorithms,NT,Algorithm design and theory
Algorithms,NT,Approximation algorithms
Algorithms,NT,Artificial bee colony algorithm
Algorithms,NT,Backpropagation algorithms
Algorithms,NT,Basis algorithms
Algorithms,NT,Change detection algorithms
Algorithms,NT,Classification algorithms
Algorithms,NT,Clustering algorithms
Algorithms,NT,Compression algorithms
Algorithms,NT,Density estimation robust algorithm
Algorithms,NT,Detection algorithms
Algorithms,NT,Distributed algorithms
Algorithms,NT,Dynamic programming
Algorithms,NT,Filtering algorithms
Algorithms,NT,Genetic algorithms
Algorithms,NT,Hash functions
Algorithms,NT,Heuristic algorithms
Algorithms,NT,Inference algorithms
Algorithms,NT,MLFMA
Algorithms,NT,Machine learning algorithms
Algorithms,NT,Matching pursuit algorithms
Algorithms,NT,Maximum likelihood detection
Algorithms,NT,Multicast algorithms
Algorithms,NT,Parallel algorithms
Algorithms,NT,Partitioning algorithms
Algorithms,NT,Prediction algorithms
Algorithms,NT,Projection algorithms
Algorithms,NT,Pursuit algorithms
Algorithms,NT,Signal processing algorithms
Algorithms,NT,Software algorithms
Algorithms,NT,Viterbi algorithm
Algorithms,NT,Whale optimization algorithms
All optical networks,USE,All-optical networks
All-optical networks,UF,All optical networks
All-optical networks,BT,Optical fiber networks
Allocation,USE,Resource management
Allow lists,USE,Accesslists
Alloying,BT,Metals
Alloying,RT,Aluminum alloys
Alloying,RT,Aluminum compounds
Alloying,RT,Barium compounds
Alloying,RT,Bismuth compounds
Alloying,RT,Calcium
Alloying,RT,Cobalt
Alloying,RT,Cobalt alloys
Alloying,RT,Copper alloys
Alloying,RT,Gallium alloys
Alloying,RT,Gallium compounds
Alloying,RT,Germanium alloys
Alloying,RT,Gold alloys
Alloying,RT,Hafnium compounds
Alloying,RT,Indium compounds
Alloying,RT,Iron alloys
Alloying,RT,Lithium
Alloying,RT,Lithium compounds
Alloying,RT,Neodymium alloys
Alloying,RT,Nickel alloys
Alloying,RT,Niobium alloys
Alloying,RT,Platinum alloys
Alloying,RT,Silicon alloys
Alloying,RT,Strontium compounds
Alloying,RT,Tin alloys
Alloying,RT,Titanium alloys
Alloying,RT,Yttrium compounds
Alloying,NT,Intermetallic
Alloying,NT,Shape memory alloys
Alloys,USE,Metals
Alpha particles,BT,Nuclear physics
Alpha particles,RT,Ions
Alphavoltaic power sources,USE,Radioactive materials
Alternating current generators,USE,AC generators
Alternating current machines,USE,AC machines
Alternating current motors,USE,AC motors
Alternators,BT,Electric machines
Alternators,RT,Synchronous generators
Altimetry,BT,Pressure measurement
Altimetry,RT,Atmospheric measurements
Aluminium,USE,Aluminum
Aluminium alloys,USE,Aluminum alloys
Aluminium compounds,USE,Aluminum compounds
Aluminium industry,USE,Metals industry
Aluminium oxide,USE,Aluminum oxide
Aluminum,UF,Al
Aluminum,UF,Aluminium
Aluminum,BT,Chemical elements
Aluminum,BT,Metals
Aluminum,NT,Aluminum alloys
Aluminum,NT,Aluminum compounds
Aluminum alloys,UF,Aluminium alloys
Aluminum alloys,BT,Aluminum
Aluminum alloys,RT,Alloying
Aluminum compounds,UF,Aluminium compounds
Aluminum compounds,BT,Aluminum
Aluminum compounds,RT,Alloying
Aluminum compounds,NT,Aluminum gallium nitride
Aluminum compounds,NT,Aluminum nitride
Aluminum compounds,NT,Aluminum oxide
Aluminum gallium nitride,BT,Aluminum compounds
Aluminum gallium nitride,BT,Gallium compounds
Aluminum gallium nitride,RT,III-V semiconductor materials
Aluminum gallium nitride,RT,Transistors
Aluminum industry,USE,Metals industry
Aluminum nitride,BT,Aluminum compounds
Aluminum oxide,UF,Al2O3
Aluminum oxide,UF,Aluminium oxide
Aluminum oxide,BT,Aluminum compounds
Aluminum oxide,RT,Ceramics
Alzheimer's disease,BT,Dementia
Alzheimer's disease,BT,Diseases
Alzheimer's disease,RT,Aging
Alzheimer's disease,RT,Gerontology
Alzheimer's disease,RT,Hippocampus
Alzheimer's disease,RT,Older adults
Ambient assisted living,UF,AAL
Ambient assisted living,BT,Assisted living
Ambient assisted living,BT,Information and communication technology
Ambient assisted living,RT,Aging
Ambient assisted living,RT,Assistive devices
Ambient intelligence,BT,Consumer electronics
Ambient intelligence,BT,Telecommunications
Ambient intelligence,RT,Intelligent systems
Ambient intelligence,RT,Internet of Things
Ambient intelligence,RT,Ubiquitous computing
Ambient intelligence,RT,User interfaces
Ambient networks,UF,AN Project
Ambient networks,BT,Mobile communication
Ambient networks,RT,3G mobile communication
Amblyopia,USE,Vision defects
Ambulatory surgery,BT,Surgery
American Express,USE,Credit cards
American National Institute of Standads,USE,ANSI
American Standards Association,USE,ASA
Americium,BT,Chemical elements
Amino acids,BT,Biochemistry
AMLCDs,USE,Active matrix liquid crystal displays
Ammeters,BT,Electric variables measurement
Ammeters,RT,Current measurement
Ammonia,BT,Nitrogen compounds
Amniocentesis,BT,Medical tests
Amniocentesis,RT,Genetics
Amniocentesis,RT,Ultrasonic imaging
Amniocentesis,NT,Amniotic fluid
Amniocentesis,NT,Birth disorders
Amniotic fluid,BT,Amniocentesis
Amniotic fluid,BT,Fluids and secretions
AMOLEDs,USE,Active matrix organic light emitting diodes
Amorphous magnetic materials,BT,Magnetic materials
Amorphous materials,BT,Materials
Amorphous materials,NT,Diamond-like carbon
Amorphous materials,NT,Glass
Amorphous semiconductors,BT,Semiconductor materials
Amorphous semiconductors,RT,Silicon
Amorphous semiconductors,RT,Thin film devices
Amorphous silicon,BT,Silicon
Amperometric sensors,BT,Electrochemical devices
Amperometric sensors,BT,Gas detectors
Amplifiers,BT,Signal processing
Amplifiers,RT,Frequency response
Amplifiers,RT,Klystrons
Amplifiers,RT,Optical fiber amplifiers
Amplifiers,RT,Rail to rail amplifiers
Amplifiers,RT,Rail to rail operation
Amplifiers,NT,Broadband amplifiers
Amplifiers,NT,Differential amplifiers
Amplifiers,NT,Distributed amplifiers
Amplifiers,NT,Low-noise amplifiers
Amplifiers,NT,Operational amplifiers
Amplifiers,NT,Power amplifiers
Amplifiers,NT,Preamplifiers
Amplifiers,NT,Pulse amplifiers
Amplifiers,NT,Radiofrequency amplifiers
Amplifiers,NT,Resonators
Amplify-and-forward cooperative communication,USE,Cooperative communication
Amplitude estimation,BT,Parameter estimation
Amplitude estimation,RT,Reflection coefficient
Amplitude modulation,BT,Modulation
Amplitude modulation,RT,Demodulation
